date;open;high;low;close
20/06/2017;50.49875;53.79976;50.27048;50.99295
21/06/2017;51.27426;52.3495;45.52;48.57016
22/06/2017;48.63566;50.64668;48.14571;50.37649
23/06/2017;50.41551;52.0;50.0;51.28544
24/06/2017;51.5388;51.53881;47.0;47.56224
25/06/2017;47.5;48.20869;43.6077;45.26149
26/06/2017;44.90189;47.67918;37.77;43.42818
27/06/2017;43.35713;44.24444;37.20409;43.52317
28/06/2017;44.09968;48.0374;42.05927;47.38891
29/06/2017;47.08914;48.34508;44.68291;44.68291
30/06/2017;44.75916;46.05515;43.09164;43.74112
01/07/2017;43.47709;44.15;39.63107;40.85146
02/07/2017;40.65;44.5;40.07697;42.84091
03/07/2017;42.73466;44.23938;41.898;43.64502
04/07/2017;43.86325;45.89969;43.44368;45.45065
05/07/2017;45.67733;47.27291;44.58677;46.06949
06/07/2017;46.22997;50.47917;46.06965;50.4
07/07/2017;50.2291;51.35;44.0;44.05779
08/07/2017;44.29444;46.25268;42.0;46.1
09/07/2017;46.16;47.20559;44.5;44.62
10/07/2017;44.8431;45.11999;37.49;40.0
11/07/2017;39.99849;40.70207;35.0;36.79958
12/07/2017;36.7996;40.89999;35.30669;40.23326
13/07/2017;40.23327;40.56784;37.0;38.05149
14/07/2017;38.25543;38.25543;33.82935;35.55893
15/07/2017;35.55893;35.55893;30.6388;32.01
16/07/2017;32.01;32.40192;27.51515;28.82475
17/07/2017;29.43229;35.23554;28.99202;34.61188
18/07/2017;34.61353;38.22997;33.21221;36.47012
19/07/2017;36.7012;37.70373;33.66179;34.86212
20/07/2017;34.86215;43.05365;34.85591;41.42771
21/07/2017;40.36565;42.5824;39.50094;40.29675
22/07/2017;40.02487;45.0;40.00084;44.96865
23/07/2017;44.96812;44.96813;41.66919;42.70287
24/07/2017;42.53059;46.03719;41.762;46.03513
25/07/2017;45.82321;45.97319;37.1;41.0
26/07/2017;39.80909;46.99997;38.36226;45.7
27/07/2017;45.55809;46.74167;43.38737;45.40794
28/07/2017;45.7077;45.99999;42.85796;43.91075
29/07/2017;44.21199;44.49928;42.5;44.09499
30/07/2017;43.74359;44.09498;39.78;40.26
31/07/2017;40.60288;41.47796;39.06;40.00064
01/08/2017;40.00052;45.47999;40.00032;44.4
02/08/2017;44.39999;44.49;41.73479;43.27568
03/08/2017;43.27627;45.0;43.02143;43.4001
04/08/2017;43.4001;46.0;43.3302;45.97897
05/08/2017;45.95978;50.47917;45.5121;48.87451
06/08/2017;48.8745;50.0;47.54663;47.9
07/08/2017;47.9;50.29856;44.0;50.29856
08/08/2017;50.44201;52.99999;49.66922;52.45269
09/08/2017;51.70004;53.43893;45.55;51.89642
10/08/2017;51.66808;51.8;49.43701;50.00106
11/08/2017;50.00005;51.86114;49.50003;50.01472
12/08/2017;51.69894;51.86114;47.0;49.78993
13/08/2017;49.78994;50.4536;46.11;48.74543
14/08/2017;48.74828;49.83;47.00001;49.83
15/08/2017;49.82989;50.54862;45.5;48.2159
16/08/2017;49.04793;49.48505;47.24981;48.53299
17/08/2017;48.53617;49.5;47.53737;48.0
18/08/2017;47.80109;48.48;46.80231;46.845
19/08/2017;46.84606;58.85;46.845;55.54764
20/08/2017;56.227;56.86889;51.39198;55.29637
21/08/2017;55.41504;94.94;51.11;77.4
22/08/2017;77.29894;94.0;71.20001;92.10791
23/08/2017;92.10376;100.00106;84.3;92.0
24/08/2017;91.99734;96.0;81.0;87.98615
25/08/2017;85.65035;110.0;82.51001;109.99989
26/08/2017;109.99999;149.8;107.0;136.0021
27/08/2017;137.49;138.98;125.33;130.89785
28/08/2017;130.89778;159.9;128.51141;147.89771
29/08/2017;147.89761;147.89772;128.0;134.5
30/08/2017;132.70217;138.0;120.0;133.5
31/08/2017;133.9831;144.3;132.0521;142.0992
01/09/2017;141.1484;152.0;137.0;141.9
02/09/2017;142.8;145.0;125.1;126.0
03/09/2017;126.0002;132.973;117.17;128.9999
04/09/2017;128.9918;130.008;101.1004;110.5
05/09/2017;110.5013;129.42;100.1001;121.8402
06/09/2017;124.5499;130.0;120.1;125.0
07/09/2017;124.6;126.95;116.1;123.73
08/09/2017;123.62;135.0;110.0;120.0
09/09/2017;119.2;123.0;114.0;117.6
10/09/2017;116.2;121.98;105.0;112.47
11/09/2017;113.4;122.55;109.99;112.36
12/09/2017;112.82;118.99;110.01;111.52
13/09/2017;111.24;114.89;101.0;111.23
14/09/2017;110.83;120.0;87.46;87.7
15/09/2017;87.69;109.99;73.0;100.0
16/09/2017;100.51;107.23;95.34;99.27
17/09/2017;97.45;97.89;89.96;94.79
18/09/2017;95.23;107.24;94.99;101.75
19/09/2017;102.46;102.79;94.94;98.99
20/09/2017;98.75;99.76;93.0;95.64
21/09/2017;95.64;96.05;85.0;86.0
22/09/2017;86.0;91.47;84.0311;87.5
23/09/2017;87.52;93.18;87.08;91.54
24/09/2017;92.07;93.89;87.94;90.0
25/09/2017;89.94;99.93;89.56;94.85
26/09/2017;94.8;95.94;91.47;93.9
27/09/2017;93.9;104.98;93.06;102.57
28/09/2017;102.54;103.52;96.71;97.58
29/09/2017;98.04;99.0;90.81;94.5
30/09/2017;94.23;97.49;93.7;96.01
01/10/2017;95.86;96.15;92.0;93.7
02/10/2017;93.63;93.66;90.5;91.49
03/10/2017;91.21;94.95;87.36;93.18
04/10/2017;93.18;94.33;89.0;89.85
05/10/2017;90.6;92.0;88.0;91.73
06/10/2017;91.26;92.99;90.44;90.73
07/10/2017;91.15;92.49;89.84;91.72
08/10/2017;91.36;92.18;90.0;90.57
09/10/2017;90.04;90.27;85.25;85.27
10/10/2017;85.46;88.28;83.68;86.18
11/10/2017;85.77;88.83;85.56;87.54
12/10/2017;87.54;88.72;86.18;87.2
13/10/2017;87.04;95.78;83.84;94.16
14/10/2017;94.24;103.0;93.94;99.99
15/10/2017;99.42;101.0;91.27;94.5
16/10/2017;94.46;97.77;92.17;95.8
17/10/2017;95.8;96.62;91.0;91.15
18/10/2017;91.05;91.71;86.21;90.0
19/10/2017;89.66;92.31;87.66;89.01
20/10/2017;89.03;93.76;86.0;90.0
21/10/2017;90.21;94.5;86.4;88.19
22/10/2017;88.19;89.68;85.46;86.15
23/10/2017;86.03;87.0;82.74;85.35
24/10/2017;85.04;92.04;83.47;89.22
25/10/2017;89.27;94.5;86.0;88.32
26/10/2017;87.77;90.0;87.69;88.28
27/10/2017;88.52;89.0;86.27;87.4
28/10/2017;87.2;87.89;85.14;86.03
29/10/2017;86.02;90.3;86.0;88.06
30/10/2017;88.67;92.3;88.13;89.12
31/10/2017;88.94;90.0;88.13;88.13
01/11/2017;88.13;88.17;85.0;85.33
02/11/2017;85.15;89.16;81.5;83.02
03/11/2017;83.4;89.39;83.02;87.64
04/11/2017;87.92;88.0;85.16;87.0
05/11/2017;87.0;87.9;85.11;85.62
06/11/2017;86.71;100.75;85.13;100.75
07/11/2017;100.71;103.77;94.0;98.93
